Date,Median_Listing_Price,State
2010-03,239900,New Hampshire
2010-03,221900,New Mexico
2010-03,189900,North Carolina
2010-03,139500,Oklahoma
2010-03,224900,Oregon
2010-03,174900,Pennsylvania
2010-03,249900,Rhode Island
2010-03,182000,South Carolina
2010-03,169000,South Dakota
2010-03,156900,Tennessee
2010-03,162255,Texas
2010-03,249500,Vermont
2010-03,234950,Virginia
2010-03,260000,Washington
2010-03,153900,West Virginia
2010-03,210000,Wyoming
2010-04,165000,Alabama
2010-04,249000,Alaska
2010-04,139900,Arkansas
2010-04,240000,Colorado
2010-04,284000,Connecticut
2010-04,232950,Delaware
2010-04,329900,District of Columbia
2010-04,469000,Hawaii
2010-04,149900,Idaho
2010-04,126900,Indiana
2010-04,139900,Iowa
2010-04,150000,Kansas
2010-04,149000,Kentucky
2010-04,171181,Louisiana
2010-04,2.00E+05,Maine
2010-04,249000,Maryland
2010-04,299900,Massachusetts
2010-04,169900,Minnesota
2010-04,152000,Mississippi
2010-04,139999,Missouri
2010-04,245000,Montana
2010-04,239900,New Hampshire
2010-04,220000,New Mexico
2010-04,189000,North Carolina
2010-04,136706,Oklahoma
2010-04,219900,Oregon
2010-04,174500,Pennsylvania
2010-04,254900,Rhode Island
2010-04,179900,South Carolina
2010-04,165000,South Dakota
2010-04,155000,Tennessee
2010-04,163900,Texas
2010-04,249000,Vermont
2010-04,235000,Virginia
2010-04,257500,Washington
2010-04,150000,West Virginia
2010-04,209000,Wyoming
2010-05,167500,Alabama
2010-05,251900,Alaska
2010-05,139900,Arkansas
2010-05,244900,Colorado
2010-05,284900,Connecticut
2010-05,227000,Delaware
2010-05,329000,District of Columbia
2010-05,468000,Hawaii
2010-05,149900,Idaho
2010-05,126500,Indiana
2010-05,139900,Iowa
2010-05,149900,Kansas
2010-05,149000,Kentucky
2010-05,169900,Louisiana
2010-05,209000,Maine
2010-05,243900,Maryland
2010-05,299900,Massachusetts
2010-05,169900,Minnesota
2010-05,152000,Mississippi
2010-05,139900,Missouri
2010-05,245000,Montana
2010-05,245000,New Hampshire
2010-05,220000,New Mexico
2010-05,187500,North Carolina
2010-05,136080,Oklahoma
2010-05,217462.5,Oregon
2010-05,170000,Pennsylvania
2010-05,255000,Rhode Island
2010-05,178500,South Carolina
2010-05,168900,South Dakota
2010-05,154900,Tennessee
2010-05,162990,Texas
2010-05,249900,Vermont
2010-05,234900,Virginia
2010-05,250000,Washington
2010-05,150000,West Virginia
2010-05,209900,Wyoming
2010-06,165000,Alabama
2010-06,254975,Alaska
2010-06,142000,Arkansas
2010-06,245000,Colorado
2010-06,285000,Connecticut
2010-06,225000,Delaware
2010-06,329000,District of Columbia
2010-06,464000,Hawaii
2010-06,149900,Idaho
2010-06,125900,Indiana
2010-06,139000,Iowa
2010-06,149900,Kansas
2010-06,149000,Kentucky
2010-06,169900,Louisiana
2010-06,209900,Maine
2010-06,239900,Maryland
2010-06,299000,Massachusetts
2010-06,169900,Minnesota
2010-06,150000,Mississippi
2010-06,139900,Missouri
2010-06,247000,Montana
2010-06,244900,New Hampshire
2010-06,219900,New Mexico
2010-06,185000,North Carolina
2010-06,137500,Oklahoma
2010-06,219900,Oregon
2010-06,169900,Pennsylvania
2010-06,250000,Rhode Island
2010-06,175900,South Carolina
2010-06,169500,South Dakota
2010-06,154900,Tennessee
2010-06,164000,Texas
2010-06,249900,Vermont
2010-06,232000,Virginia
2010-06,250000,Washington
2010-06,150000,West Virginia
2010-06,205900,Wyoming
2010-07,164900,Alabama
2010-07,249900,Alaska
2010-07,140000,Arkansas
2010-07,245000,Colorado
2010-07,279900,Connecticut
2010-07,224900,Delaware
2010-07,325000,District of Columbia
2010-07,456450,Hawaii
2010-07,150000,Idaho
2010-07,124900,Indiana
2010-07,139000,Iowa
2010-07,147230,Kansas
2010-07,148000,Kentucky
2010-07,169900,Louisiana
2010-07,208887.5,Maine
2010-07,234900,Maryland
2010-07,299000,Massachusetts
2010-07,164900,Minnesota
2010-07,149900,Mississippi
2010-07,139900,Missouri
2010-07,245000,Montana
2010-07,238500,New Hampshire
2010-07,219000,New Mexico
2010-07,184000,North Carolina
2010-07,135000,Oklahoma
2010-07,219900,Oregon
2010-07,169900,Pennsylvania
2010-07,250000,Rhode Island
2010-07,174900,South Carolina
2010-07,169900,South Dakota
2010-07,154900,Tennessee
2010-07,160000,Texas
2010-07,249900,Vermont
2010-07,230000,Virginia
2010-07,254000,Washington
2010-07,149900,West Virginia
2010-07,209900,Wyoming
2010-08,159970,Alabama
2010-08,249900,Alaska
2010-08,139900,Arkansas
2010-08,249900,Colorado
2010-08,279900,Connecticut
2010-08,225000,Delaware
2010-08,325000,District of Columbia
2010-08,479000,Hawaii
2010-08,155000,Idaho
2010-08,124900,Indiana
2010-08,137951,Iowa
2010-08,145000,Kansas
2010-08,145900,Kentucky
2010-08,169900,Louisiana
2010-08,209000,Maine
2010-08,229900,Maryland
2010-08,299000,Massachusetts
2010-08,164900,Minnesota
2010-08,149900,Mississippi
2010-08,139900,Missouri
2010-08,247000,Montana
2010-08,235000,New Hampshire
2010-08,217900,New Mexico
2010-08,179900,North Carolina
2010-08,134900,Oklahoma
2010-08,219900,Oregon
2010-08,169900,Pennsylvania
2010-08,259000,Rhode Island
2010-08,174900,South Carolina
2010-08,169900,South Dakota
2010-08,154900,Tennessee
2010-08,160439,Texas
2010-08,249000,Vermont
2010-08,229900,Virginia
2010-08,250000,Washington
2010-08,149999,West Virginia
2010-08,209500,Wyoming
2010-09,164900,Alabama
2010-09,251000,Alaska
2010-09,143500,Arkansas
2010-09,249950,Colorado
2010-09,279900,Connecticut
2010-09,229900,Delaware
2010-09,349000,District of Columbia
2010-09,489000,Hawaii
2010-09,159900,Idaho
2010-09,125000,Indiana
2010-09,137500,Iowa
2010-09,145000,Kansas
2010-09,147900,Kentucky
2010-09,172000,Louisiana
2010-09,2.00E+05,Maine
2010-09,239799.5,Maryland
2010-09,299900,Massachusetts
2010-09,179000,Minnesota
2010-09,149900,Mississippi
2010-09,144900,Missouri
2010-09,246150,Montana
2010-09,229900,New Hampshire
2010-09,219500,New Mexico
2010-09,184900,North Carolina
2010-09,139000,Oklahoma
2010-09,224500,Oregon
2010-09,169999,Pennsylvania
2010-09,259000,Rhode Island
2010-09,179900,South Carolina
2010-09,165700,South Dakota
2010-09,163900,Tennessee
2010-09,169990,Texas
2010-09,247900,Vermont
2010-09,235000,Virginia
2010-09,254950,Washington
2010-09,149900,West Virginia
2010-09,210000,Wyoming
2010-10,159900,Alabama
2010-10,248900,Alaska
2010-10,140000,Arkansas
2010-10,234900,Colorado
2010-10,279900,Connecticut
2010-10,227500,Delaware
2010-10,334000,District of Columbia
2010-10,449000,Hawaii
2010-10,155000,Idaho
2010-10,124900,Indiana
2010-10,136000,Iowa
2010-10,143000,Kansas
2010-10,144900,Kentucky
2010-10,168500,Louisiana
2010-10,199985,Maine
2010-10,237500,Maryland
2010-10,299900,Massachusetts
2010-10,169900,Minnesota
2010-10,149500,Mississippi
2010-10,142500,Missouri
2010-10,239900,Montana
2010-10,234900,New Hampshire
2010-10,208600,New Mexico
2010-10,179000,North Carolina
2010-10,138500,Oklahoma
2010-10,209000,Oregon
2010-10,169400,Pennsylvania
2010-10,249900,Rhode Island
2010-10,175000,South Carolina
2010-10,164900,South Dakota
2010-10,159900,Tennessee
2010-10,169100.5,Texas
2010-10,247000,Vermont
2010-10,229900,Virginia
2010-10,239900,Washington
2010-10,149900,West Virginia
2010-10,205000,Wyoming
2010-11,158900,Alabama
2010-11,233700,Alaska
2010-11,139900,Arkansas
2010-11,220000,Colorado
2010-11,279000,Connecticut
2010-11,225000,Delaware
2010-11,307000,District of Columbia
2010-11,399000,Hawaii
2010-11,149900,Idaho
2010-11,123500,Indiana
2010-11,132500,Iowa
2010-11,139900,Kansas
2010-11,140000,Kentucky
2010-11,165000,Louisiana
2010-11,199900,Maine
2010-11,236800,Maryland
2010-11,299000,Massachusetts
2010-11,169000,Minnesota
2010-11,149000,Mississippi
2010-11,139900,Missouri
2010-11,235000,Montana
2010-11,239000,New Hampshire
2010-11,2.00E+05,New Mexico
2010-11,174900,North Carolina
2010-11,139500,Oklahoma
2010-11,199000,Oregon
2010-11,165000,Pennsylvania
2010-11,244000,Rhode Island
2010-11,171842.5,South Carolina
2010-11,164900,South Dakota
2010-11,159000,Tennessee
2010-11,165000,Texas
2010-11,249000,Vermont
2010-11,224900,Virginia
2010-11,229950,Washington
2010-11,145040,West Virginia
2010-11,204900,Wyoming
2010-12,155000,Alabama
2010-12,229900,Alaska
2010-12,138000,Arkansas
2010-12,215000,Colorado
2010-12,269900,Connecticut
2010-12,224900,Delaware
2010-12,317450,District of Columbia
2010-12,386450,Hawaii
2010-12,147900,Idaho
2010-12,119900,Indiana
2010-12,129900,Iowa
2010-12,135000,Kansas
2010-12,139900,Kentucky
2010-12,163500,Louisiana
2010-12,199000,Maine
2010-12,225900,Maryland
2010-12,289900,Massachusetts
2010-12,159900,Minnesota
2010-12,145000,Mississippi
2010-12,137500,Missouri
2010-12,239000,Montana
2010-12,230000,New Hampshire
2010-12,198500,New Mexico
2010-12,169900,North Carolina
2010-12,135687.5,Oklahoma
2010-12,190000,Oregon
2010-12,164290.5,Pennsylvania
2010-12,239900,Rhode Island
2010-12,169900,South Carolina
2010-12,162900,South Dakota
2010-12,154000,Tennessee
2010-12,160990,Texas
2010-12,244900,Vermont
2010-12,219000,Virginia
2010-12,224990,Washington
2010-12,143500,West Virginia
2010-12,199800,Wyoming
2011-01,152500,Alabama
2011-01,225000,Alaska
2011-01,133604.5,Arkansas
2011-01,215000,Colorado
2011-01,269900,Connecticut
2011-01,220000,Delaware
2011-01,308450,District of Columbia
2011-01,394400,Hawaii
2011-01,139900,Idaho
2011-01,119800,Indiana
2011-01,127500,Iowa
2011-01,130000,Kansas
2011-01,136500,Kentucky
2011-01,156560,Louisiana
2011-01,196000,Maine
2011-01,222000,Maryland
2011-01,289900,Massachusetts
2011-01,154900,Minnesota
2011-01,144000,Mississippi
2011-01,130500,Missouri
2011-01,235550,Montana
2011-01,227900,New Hampshire
2011-01,189900,New Mexico
2011-01,165900,North Carolina
2011-01,132000,Oklahoma
2011-01,180000,Oregon
2011-01,160000,Pennsylvania
2011-01,234900,Rhode Island
2011-01,167000,South Carolina
2011-01,159900,South Dakota
2011-01,149900,Tennessee
2011-01,159900,Texas
2011-01,244900,Vermont
2011-01,210000,Virginia
2011-01,215000,Washington
2011-01,140000,West Virginia
2011-01,199900,Wyoming
2011-02,150000,Alabama
2011-02,229000,Alaska
2011-02,129900,Arkansas
2011-02,211950,Colorado
2011-02,274000,Connecticut
2011-02,220000,Delaware
2011-02,319900,District of Columbia
2011-02,381500,Hawaii
2011-02,135950,Idaho
2011-02,119900,Indiana
2011-02,125000,Iowa
2011-02,129950,Kansas
2011-02,136000,Kentucky
2011-02,154900,Louisiana
2011-02,196400,Maine
2011-02,222000,Maryland
2011-02,299000,Massachusetts
2011-02,152375,Minnesota
2011-02,139923,Mississippi
2011-02,130000,Missouri
2011-02,234900,Montana
2011-02,225000,New Hampshire
2011-02,184900,New Mexico
2011-02,165000,North Carolina
2011-02,129900,Oklahoma
2011-02,180000,Oregon
2011-02,164900,Pennsylvania
2011-02,229900,Rhode Island
2011-02,164500,South Carolina
2011-02,159900,South Dakota
2011-02,149000,Tennessee
2011-02,159900,Texas
2011-02,239000,Vermont
2011-02,212900,Virginia
2011-02,212000,Washington
2011-02,139900,West Virginia
2011-02,195250,Wyoming
2011-03,155000,Alabama
2011-03,234949.5,Alaska
2011-03,135000,Arkansas
2011-03,217000,Colorado
2011-03,279000,Connecticut
2011-03,224900,Delaware
2011-03,333500,District of Columbia
2011-03,399000,Hawaii
2011-03,139900,Idaho
2011-03,124900,Indiana
2011-03,129900,Iowa
2011-03,135000,Kansas
2011-03,139500,Kentucky
2011-03,159500,Louisiana
2011-03,199000,Maine
2011-03,229000,Maryland
2011-03,299900,Massachusetts
2011-03,156900,Minnesota
2011-03,146000,Mississippi
2011-03,135000,Missouri
2011-03,235000,Montana
2011-03,224900,New Hampshire
2011-03,189000,New Mexico
2011-03,169900,North Carolina
2011-03,134900,Oklahoma
2011-03,194000,Oregon
2011-03,165000,Pennsylvania
2011-03,229999,Rhode Island
2011-03,168000,South Carolina
2011-03,159000,South Dakota
2011-03,149900,Tennessee
2011-03,162900,Texas
2011-03,239000,Vermont
2011-03,220000,Virginia
2011-03,218000,Washington
2011-03,144200,West Virginia
2011-03,199900,Wyoming
2011-04,159000,Alabama
2011-04,239000,Alaska
2011-04,137900,Arkansas
2011-04,220000,Colorado
2011-04,279900,Connecticut
2011-04,225000,Delaware
2011-04,340000,District of Columbia
2011-04,399000,Hawaii
2011-04,142500,Idaho
2011-04,125000,Indiana
2011-04,130000,Iowa
2011-04,139900,Kansas
2011-04,139900,Kentucky
2011-04,159900,Louisiana
2011-04,199823,Maine
2011-04,230000,Maryland
2011-04,299900,Massachusetts
2011-04,159500,Minnesota
2011-04,149000,Mississippi
2011-04,139000,Missouri
2011-04,235000,Montana
2011-04,229900,New Hampshire
2011-04,189900,New Mexico
2011-04,170000,North Carolina
2011-04,135000,Oklahoma
2011-04,187900,Oregon
2011-04,167500,Pennsylvania
2011-04,235000,Rhode Island
2011-04,168000,South Carolina
2011-04,159500,South Dakota
2011-04,154500,Tennessee
2011-04,164900,Texas
2011-04,239000,Vermont
2011-04,224900,Virginia
2011-04,214950,Washington
2011-04,145000,West Virginia
2011-04,204900,Wyoming
2011-05,159400,Alabama
2011-05,242000,Alaska
2011-05,139900,Arkansas
2011-05,229900,Colorado
2011-05,284900,Connecticut
2011-05,227900,Delaware
2011-05,350000,District of Columbia
2011-05,399900,Hawaii
2011-05,149900,Idaho
2011-05,128800,Indiana
2011-05,133900,Iowa
2011-05,140000,Kansas
2011-05,142000,Kentucky
2011-05,160000,Louisiana
2011-05,199900,Maine
2011-05,239000,Maryland
2011-05,309000,Massachusetts
2011-05,159900,Minnesota
2011-05,149900,Mississippi
2011-05,139900,Missouri
2011-05,235000,Montana
2011-05,234900,New Hampshire
2011-05,195000,New Mexico
2011-05,175000,North Carolina
2011-05,135000,Oklahoma
2011-05,189500,Oregon
2011-05,169900,Pennsylvania
2011-05,237450,Rhode Island
2011-05,168500,South Carolina
2011-05,165000,South Dakota
2011-05,156900,Tennessee
2011-05,167459,Texas
2011-05,239900,Vermont
2011-05,229000,Virginia
2011-05,219000,Washington
2011-05,148500,West Virginia
2011-05,210000,Wyoming
2011-06,159900,Alabama
2011-06,242000,Alaska
2011-06,139900,Arkansas
2011-06,235000,Colorado
2011-06,285000,Connecticut
2011-06,219000,Delaware
2011-06,359974.5,District of Columbia
2011-06,404400,Hawaii
2011-06,149900,Idaho
2011-06,129900,Indiana
2011-06,134900,Iowa
2011-06,140000,Kansas
2011-06,139900,Kentucky
2011-06,159900,Louisiana
2011-06,199900,Maine
2011-06,239900,Maryland
2011-06,309900,Massachusetts
2011-06,159800,Minnesota
2011-06,149900,Mississippi
2011-06,139900,Missouri
2011-06,238000,Montana
2011-06,230000,New Hampshire
2011-06,195000,New Mexico
2011-06,179000,North Carolina
2011-06,135000,Oklahoma
2011-06,189999.5,Oregon
2011-06,169900,Pennsylvania
2011-06,238000,Rhode Island
2011-06,169100,South Carolina
2011-06,165000,South Dakota
2011-06,155000,Tennessee
2011-06,168000,Texas
2011-06,240000,Vermont
2011-06,229900,Virginia
2011-06,219900,Washington
2011-06,149000,West Virginia
2011-06,210000,Wyoming
2011-07,159900,Alabama
2011-07,242900,Alaska
2011-07,139900,Arkansas
2011-07,239476.5,Colorado
2011-07,279900,Connecticut
2011-07,2.00E+05,Delaware
2011-07,325000,District of Columbia
2011-07,428800,Hawaii
2011-07,150000,Idaho
2011-07,129900,Indiana
2011-07,132500,Iowa
2011-07,139900,Kansas
2011-07,139900,Kentucky
2011-07,159000,Louisiana
2011-07,199900,Maine
2011-07,239900,Maryland
2011-07,299900,Massachusetts
2011-07,158500,Minnesota
2011-07,149900,Mississippi
2011-07,139900,Missouri
2011-07,237450,Montana
2011-07,234000,New Hampshire
2011-07,195000,New Mexico
2011-07,179000,North Carolina
2011-07,134000,Oklahoma
2011-07,195000,Oregon
2011-07,169900,Pennsylvania
2011-07,234900,Rhode Island
2011-07,165000,South Carolina
2011-07,165000,South Dakota
2011-07,154900,Tennessee
2011-07,166500,Texas
2011-07,245000,Vermont
2011-07,227500,Virginia
2011-07,219900,Washington
2011-07,149000,West Virginia
2011-07,219900,Wyoming
2011-08,159000,Alabama
2011-08,239900,Alaska
2011-08,142900,Arkansas
2011-08,235000,Colorado
2011-08,275000,Connecticut
2011-08,199900,Delaware
2011-08,349000,District of Columbia
2011-08,449000,Hawaii
2011-08,149900,Idaho
2011-08,127500,Indiana
2011-08,130000,Iowa
2011-08,139900,Kansas
2011-08,139000,Kentucky
2011-08,157000,Louisiana
2011-08,199900,Maine
2011-08,239900,Maryland
2011-08,299900,Massachusetts
2011-08,155900,Minnesota
2011-08,149900,Mississippi
2011-08,139000,Missouri
2011-08,235000,Montana
2011-08,229900,New Hampshire
2011-08,190000,New Mexico
2011-08,175000,North Carolina
2011-08,130000,Oklahoma
2011-08,198500,Oregon
2011-08,169900,Pennsylvania
2011-08,234900,Rhode Island
2011-08,159000,South Carolina
2011-08,164900,South Dakota
2011-08,154000,Tennessee
2011-08,165000,Texas
2011-08,245000,Vermont
2011-08,225000,Virginia
2011-08,220500,Washington
2011-08,145950,West Virginia
2011-08,220000,Wyoming
2011-09,157000,Alabama
2011-09,239000,Alaska
2011-09,140000,Arkansas
2011-09,229900,Colorado
2011-09,273000,Connecticut
2011-09,199000,Delaware
2011-09,349990,District of Columbia
2011-09,448000,Hawaii
2011-09,147000,Idaho
2011-09,125000,Indiana
2011-09,129500,Iowa
2011-09,138900,Kansas
2011-09,137500,Kentucky
2011-09,155000,Louisiana
2011-09,199500,Maine
2011-09,239000,Maryland
2011-09,299000,Massachusetts
2011-09,154900,Minnesota
2011-09,149900,Mississippi
2011-09,135900,Missouri
2011-09,230000,Montana
2011-09,229000,New Hampshire
2011-09,189900,New Mexico
2011-09,171900,North Carolina
2011-09,129900,Oklahoma
2011-09,195000,Oregon
2011-09,165000,Pennsylvania
2011-09,229900,Rhode Island
2011-09,154000,South Carolina
2011-09,164900,South Dakota
2011-09,149900,Tennessee
2011-09,159900,Texas
2011-09,245000,Vermont
2011-09,224900,Virginia
2011-09,219900,Washington
2011-09,144500,West Virginia
2011-09,219947.5,Wyoming
2011-10,154900,Alabama
2011-10,234000,Alaska
2011-10,140000,Arkansas
2011-10,220800,Colorado
2011-10,268900,Connecticut
2011-10,195900,Delaware
2011-10,358950,District of Columbia
2011-10,435000,Hawaii
2011-10,139950,Idaho
2011-10,124900,Indiana
2011-10,129000,Iowa
2011-10,135000,Kansas
2011-10,134900,Kentucky
2011-10,150000,Louisiana
2011-10,199000,Maine
2011-10,235000,Maryland
2011-10,290000,Massachusetts
2011-10,149000,Minnesota
2011-10,147700,Mississippi
2011-10,134900,Missouri
2011-10,229900,Montana
2011-10,225000,New Hampshire
2011-10,188900,New Mexico
2011-10,169900,North Carolina
2011-10,127000,Oklahoma
2011-10,188585,Oregon
2011-10,164500,Pennsylvania
2011-10,229000,Rhode Island
2011-10,149900,South Carolina
2011-10,161000,South Dakota
2011-10,149900,Tennessee
2011-10,159000,Texas
2011-10,244900,Vermont
2011-10,219000,Virginia
2011-10,214950,Washington
2011-10,140000,West Virginia
2011-10,217900,Wyoming
2011-11,149900,Alabama
2011-11,229900,Alaska
2011-11,140000,Arkansas
2011-11,212900,Colorado
2011-11,264900,Connecticut
2011-11,194495,Delaware
2011-11,349900,District of Columbia
2011-11,419000,Hawaii
2011-11,136730,Idaho
2011-11,119900,Indiana
2011-11,125900,Iowa
2011-11,132000,Kansas
2011-11,130000,Kentucky
2011-11,149900,Louisiana
2011-11,189999.5,Maine
2011-11,229402,Maryland
2011-11,275900,Massachusetts
2011-11,139900,Minnesota
2011-11,143370,Mississippi
2011-11,129900,Missouri
2011-11,225000,Montana
2011-11,219000,New Hampshire
2011-11,184000,New Mexico
2011-11,165000,North Carolina
2011-11,124900,Oklahoma
2011-11,178000,Oregon
2011-11,159900,Pennsylvania
2011-11,219900,Rhode Island
2011-11,135775,South Carolina
2011-11,159900,South Dakota
2011-11,141100,Tennessee
2011-11,155000,Texas
2011-11,239900,Vermont
2011-11,209900,Virginia
2011-11,209500,Washington
2011-11,139900,West Virginia
2011-11,219000,Wyoming
2011-12,149900,Alabama
2011-12,228500,Alaska
2011-12,139900,Arkansas
2011-12,199900,Colorado
2011-12,259900,Connecticut
2011-12,189900,Delaware
2011-12,349000,District of Columbia
2011-12,420000,Hawaii
2011-12,132550,Idaho
2011-12,114900,Indiana
2011-12,121000,Iowa
2011-12,129900,Kansas
2011-12,129000,Kentucky
2011-12,149000,Louisiana
2011-12,189000,Maine
2011-12,228724.5,Maryland
2011-12,269500,Massachusetts
2011-12,129900,Minnesota
2011-12,139900,Mississippi
2011-12,128000,Missouri
2011-12,220000,Montana
2011-12,209900,New Hampshire
2011-12,179000,New Mexico
2011-12,164900,North Carolina
2011-12,123500,Oklahoma
2011-12,169900,Oregon
2011-12,158000,Pennsylvania
2011-12,213900,Rhode Island
2011-12,149800,South Carolina
2011-12,159900,South Dakota
2011-12,134900,Tennessee
2011-12,153500,Texas
2011-12,239900,Vermont
2011-12,199900,Virginia
2011-12,199990,Washington
2011-12,139000,West Virginia
2011-12,215000,Wyoming
2012-01,149900,Alabama
2012-01,229000,Alaska
2012-01,139900,Arkansas
2012-01,2.00E+05,Colorado
2012-01,259000,Connecticut
2012-01,190000,Delaware
2012-01,349000,District of Columbia
2012-01,425000,Hawaii
2012-01,134000,Idaho
2012-01,114000,Indiana
2012-01,121900,Iowa
2012-01,129500,Kansas
2012-01,127200,Kentucky
2012-01,149000,Louisiana
2012-01,183812.5,Maine
2012-01,225000,Maryland
2012-01,269900,Massachusetts
2012-01,129000,Minnesota
2012-01,140000,Mississippi
2012-01,129900,Missouri
2012-01,219900,Montana
2012-01,208200,New Hampshire
2012-01,178000,New Mexico
2012-01,169900,North Carolina
2012-01,120000,Oklahoma
2012-01,174900,Oregon
2012-01,159000,Pennsylvania
2012-01,214900,Rhode Island
2012-01,145000,South Carolina
2012-01,159900,South Dakota
2012-01,133900,Tennessee
2012-01,154900,Texas
2012-01,239002,Vermont
2012-01,199900,Virginia
2012-01,199950,Washington
2012-01,139500,West Virginia
2012-01,219000,Wyoming
2012-02,149900,Alabama
2012-02,228000,Alaska
2012-02,142500,Arkansas
2012-02,207000,Colorado
2012-02,259999,Connecticut
2012-02,199900,Delaware
2012-02,355000,District of Columbia
2012-02,429000,Hawaii
2012-02,135000,Idaho
2012-02,114000,Indiana
2012-02,124900,Iowa
2012-02,129999,Kansas
2012-02,128900,Kentucky
2012-02,149500,Louisiana
2012-02,185000,Maine
2012-02,229400,Maryland
2012-02,269900,Massachusetts
2012-02,129000,Minnesota
2012-02,139999,Mississippi
2012-02,126900,Missouri
2012-02,219000,Montana
2012-02,205000,New Hampshire
2012-02,175000,New Mexico
2012-02,169900,North Carolina
2012-02,124900,Oklahoma
2012-02,175900,Oregon
2012-02,159000,Pennsylvania
2012-02,214650,Rhode Island
2012-02,148900,South Carolina
2012-02,159900,South Dakota
2012-02,133500,Tennessee
2012-02,155000,Texas
2012-02,239000,Vermont
2012-02,2.00E+05,Virginia
2012-02,205000,Washington
2012-02,139000,West Virginia
2012-02,209900,Wyoming
2012-03,149900,Alabama
2012-03,225900,Alaska
2012-03,139900,Arkansas
2012-03,210000,Colorado
2012-03,265000,Connecticut
2012-03,218500,Delaware
2012-03,364400,District of Columbia
2012-03,429000,Hawaii
2012-03,139500,Idaho
2012-03,114900,Indiana
2012-03,125950,Iowa
2012-03,134900,Kansas
2012-03,129900,Kentucky
2012-03,149900,Louisiana
2012-03,189900,Maine
2012-03,229909.5,Maryland
2012-03,279900,Massachusetts
2012-03,129900,Minnesota
2012-03,143500,Mississippi
2012-03,128499.5,Missouri
2012-03,224000,Montana
2012-03,218750,New Hampshire
2012-03,174900,New Mexico
2012-03,170000,North Carolina
2012-03,128000,Oklahoma
2012-03,179992.5,Oregon
2012-03,159900,Pennsylvania
2012-03,219900,Rhode Island
2012-03,149900,South Carolina
2012-03,159900,South Dakota
2012-03,134900,Tennessee
2012-03,156990,Texas
2012-03,239000,Vermont
2012-03,209900,Virginia
2012-03,212000,Washington
2012-03,139900,West Virginia
2012-03,209000,Wyoming
2012-04,149500,Alabama
2012-04,229000,Alaska
2012-04,137500,Arkansas
2012-04,214000,Colorado
2012-04,269900,Connecticut
2012-04,224900,Delaware
2012-04,375000,District of Columbia
2012-04,439000,Hawaii
2012-04,140000,Idaho
2012-04,116900,Indiana
2012-04,127900,Iowa
2012-04,137500,Kansas
2012-04,129900,Kentucky
2012-04,149900,Louisiana
2012-04,195000,Maine
2012-04,225000,Maryland
2012-04,289900,Massachusetts
2012-04,131500,Minnesota
2012-04,141585,Mississippi
2012-04,129900,Missouri
2012-04,224900,Montana
2012-04,219000,New Hampshire
2012-04,174900,New Mexico
